,sector,name,weight,price,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,cedear
AAPL,Information Technology,Apple Inc.,7.285543,164.91,DJIA S&P500 NDQ100,27.32,6.05,0.07%,16.28B,1.75%,2582.02B,25.58,6.46,-1.90%,16.26B,12.98%,99.63B,2.78,1.26,59.80%,0.65%,5.47%,387.54B,6.66,71.40%,0.13%,1.19,-4.37%,4.14,39.94,28.50%,181.66,12.44%,3.30,50.13,9.83%,150.80%,129.04 - 182.94,-6.88%,0.92,29.59,22.00%,50.00%,-9.62%,1.22,0.56%,0.90,11.10%,43.30%,28.14%,3.86,154000,0.90,8.60%,30.20%,69.16,2.10% 2.36%,Yes,1.78,9.20%,25.90%,0.64,165.81,Yes,1.53,Jul 28 AMC,14.20%,87.99M,165.35,1.90,7.47%,13.16%,3.78%,"56,606,194",-0.28%,1
MSFT,Information Technology,Microsoft Corporation,6.062333,282.52,DJIA S&P500 NDQ100,29.34,9.64,0.07%,7.47B,0.77%,2021.38B,23.39,12.10,-0.67%,7.44B,5.41%,72.74B,1.90,2.34,72.10%,0.52%,2.00%,198.27B,10.20,19.80%,0.02%,1.30,-6.09%,22.29,12.69,21.00%,337.85,-2.28%,14.66,19.30,15.41%,45.40%,241.51 - 349.67,-15.88%,2.48,43.00,24.30%,31.30%,-19.09%,0.93,0.88%,1.70,15.50%,68.40%,17.14%,7.16,221000,1.80,12.40%,42.00%,62.78,1.91% 2.66%,Yes,0.39,2.80%,36.70%,0.56,283.65,Yes,0.37,Jul 26 AMC,24.90%,30.01M,282.91,1.70,6.63%,7.60%,-4.18%,"16,753,221",-0.26%,1
AMZN,Consumer Discretionary,Amazon.com Inc.,3.564884,140.66,S&P500 NDQ100,126.62,1.11,9.80%,10.18B,4.33%,1284.15B,56.84,2.48,-0.00%,457.72M,21.03%,11.61B,4.60,0.24,60.50%,17.83%,20.95%,485.90B,2.64,54.90%,-0.54%,0.97,1.41%,13.16,10.70,8.50%,172.81,-16.59%,7.28,19.34,27.50%,26.30%,101.26 - 188.11,-15.55%,-,-,67.60%,9.50%,-25.15%,1.27,-,0.70,28.10%,42.60%,39.05%,5.30,1622000,1.00,7.30%,5.10%,69.52,2.99% 3.54%,Yes,0.53,-147.80%,6.90%,0.60,142.57,Yes,0.51,Jul 28 AMC,0.00%,84.24M,140.80,1.70,15.47%,20.97%,-3.59%,"50,610,697",-1.24%,1
GOOGL,Communication Services,Alphabet Inc. Class A,2.031628,117.33,S&P500 NDQ100,22.58,5.20,7.70%,13.13B,0.99%,1492.70B,19.60,5.99,-0.04%,11.65B,-1.11%,72.02B,1.65,1.27,79.10%,0.40%,0.83%,278.14B,5.37,91.40%,-0.06%,1.23,-17.90%,19.45,6.04,20.30%,148.23,-13.78%,9.84,11.94,13.65%,28.60%,101.88 - 151.55,-18.90%,-,22.90,32.10%,24.00%,-22.49%,1.08,-,2.80,23.30%,56.70%,15.30%,3.74,174014,2.80,12.60%,29.60%,56.70,2.11% 3.01%,Yes,0.06,-16.90%,25.90%,0.50,118.19,Yes,0.06,Jul 26 AMC,0.00%,38.05M,117.47,1.70,3.78%,4.40%,-9.63%,"19,117,457",-0.61%,1
GOOG,Communication Services,Alphabet Inc. Class C,1.873517,118.07,S&P500 NDQ100,20.49,5.77,0.04%,13.20B,1.35%,1561.00B,18.27,6.47,-20.49%,12.25B,-0.91%,-,1.43,1.31,65.25%,0.24%,1.26%,270.33B,5.77,-2.00%,-,0.95,-17.13%,19.28,6.13,-,150.05,-13.67%,-,-,14.34%,-,102.21 - 152.10,-18.29%,-,-,-,-,-22.27%,-,-,-,-,-,15.67%,3.74,163906,-,23.00%,-,56.97,2.15% 3.00%,Yes,-,-8.30%,-,0.50,118.87,Yes,-,Jul 26 AMC,-,31.44M,118.22,1.50,3.79%,4.59%,-9.33%,"15,588,913",-0.55%,0
TSLA,Consumer Discretionary,Tesla Inc,2.22034,862.03,S&P500 NDQ100,103.77,8.33,17.26%,1.00B,-3.02%,868.19B,51.53,16.78,-5.35%,865.60M,17.84%,9.51B,2.00,3.18,42.90%,2.71%,-1.00%,67.17B,12.93,669.20%,0.11%,0.76,-2.99%,35.08,24.64,15.00%,879.36,20.97%,18.83,45.90,51.89%,29.80%,620.57 - 1243.49,-18.19%,-,61.74,48.60%,15.70%,-30.48%,2.15,-,1.10,50.40%,27.10%,39.31%,40.35,99290,1.40,41.60%,15.90%,59.94,4.64% 4.88%,Yes,0.12,91.40%,14.20%,1.21,925.90,Yes,0.08,Jul 20 AMC,0.00%,30.95M,864.51,2.50,8.64%,16.88%,-5.09%,"37,553,244",-6.63%,1
UNH,Health Care,UnitedHealth Group Incorporated,1.432303,535.45,DJIA S&P500,27.95,19.14,0.20%,941.00M,-1.34%,494.82B,21.52,24.86,-7.75%,932.93M,4.02%,18.25B,1.94,5.43,89.70%,0.61%,8.15%,306.56B,1.61,12.80%,0.07%,1.70,9.47%,77.33,6.92,8.10%,572.87,30.12%,27.55,19.42,14.42%,24.40%,383.12 - 553.29,6.56%,6.60,33.87,20.10%,16.50%,-3.29%,0.77,1.23%,-,9.20%,-,39.66%,11.44,350000,-,14.20%,7.80%,57.57,1.69% 2.13%,Yes,0.65,3.70%,5.60%,0.71,533.75,Yes,0.56,Jul 15 BMO,30.60%,3.33M,535.06,1.80,1.68%,5.67%,9.51%,"2,369,805",0.25%,1
JNJ,Health Care,Johnson & Johnson,1.2918,171.0,DJIA S&P500,24.87,6.88,0.10%,2.63B,-1.95%,446.85B,16.17,10.58,-4.31%,2.63B,-4.14%,18.37B,6.12,2.52,70.30%,0.52%,-3.20%,95.59B,4.67,44.70%,-0.03%,2.00,-0.96%,28.42,6.02,11.70%,187.84,-1.49%,11.64,14.70,4.07%,28.90%,155.72 - 186.69,0.02%,4.52,51.21,5.70%,19.40%,-8.35%,0.60,2.64%,1.10,5.50%,67.90%,9.88%,2.87,141700,1.40,5.00%,23.80%,40.56,1.53% 1.60%,Yes,0.44,-16.70%,21.80%,0.77,171.79,Yes,0.39,Jul 19 BMO,39.60%,6.82M,171.11,2.30,-1.75%,-2.57%,-0.38%,"5,230,397",-0.40%,1
XOM,Energy,Exxon Mobil Corporation,1.049595,88.44,S&P500,14.69,6.02,0.07%,4.27B,-8.75%,352.05B,8.78,10.07,-0.63%,4.21B,2.92%,25.74B,0.61,3.40,56.90%,0.89%,-2.06%,306.87B,1.15,202.20%,0.12%,1.37,11.01%,39.67,2.23,6.70%,103.43,54.63%,2.78,31.79,23.92%,14.00%,52.10 - 105.57,44.55%,3.52,16.66,23.40%,7.20%,-16.22%,1.06,3.98%,0.80,6.60%,30.50%,69.77%,3.21,63000,1.10,52.40%,7.60%,47.38,3.24% 2.89%,Yes,0.28,100.70%,7.50%,0.64,87.19,Yes,0.25,Jul 29 BMO,64.70%,27.37M,88.45,2.50,-0.32%,-3.26%,12.04%,"17,398,915",1.45%,1
META,Communication Services,Meta Platforms Inc. Class A,1.117932,166.55,S&P500 NDQ100,13.85,12.07,0.55%,2.70B,5.03%,482.04B,14.09,11.86,-0.02%,2.30B,-2.95%,33.63B,1.84,2.04,76.60%,1.17%,-19.77%,119.41B,4.04,36.40%,-0.40%,0.87,-29.71%,46.51,3.59,20.10%,243.50,-53.96%,14.04,11.91,7.53%,26.50%,154.25 - 384.33,-50.32%,-,13.48,31.60%,31.00%,-56.52%,1.35,-,2.50,33.70%,80.50%,8.34%,7.65,83553,2.50,-0.90%,33.40%,49.37,4.15% 3.78%,Yes,0.00,-31.80%,28.20%,0.84,170.57,Yes,0.00,Jul 27 AMC,0.00%,30.86M,167.11,2.00,0.17%,-2.79%,-31.45%,"25,798,171",-2.03%,1
